Code,In family sheet?,Has BOM?,Has demand?,AVE /mo,Product Group,Current routing,Action needed
MFBLUBUSM,YES,YES,YES,171,MF - Pantry,family sheet,(none)
MFBKCHOCB9,no,YES,YES,130,MF - Buckies,auto: hand-packing,add to family sheet for proper routing
MFCARCLLG,YES,YES,YES,369,MF - Clusters,family sheet,(none)
SDCACAOSM,YES,YES,YES,763,Stardust,family sheet,(none)
MFCACAPLG,YES,YES,YES,197,MF - Pantry,family sheet,(none)
MFASHWPSM,YES,YES,YES,258,MF - Pantry,family sheet,(none)
MFBKCARABG,no,YES,YES,204,MF - Buckies,auto: hand-packing,add to family sheet for proper routing
SDPORIGLG,YES,YES,YES,306,Stardust - Protein,family sheet,(none)
MFCELTSSM,YES,YES,YES,711,MF - Pantry,family sheet,(none)
SDYELLOSM,YES,YES,no,,SDYELLOSM,family sheet,add demand row
MFYEASTME,YES,YES,YES,165,MF - Pantry,family sheet,(none)
MFJASMIME,YES,YES,YES,91,MF - Tea,family sheet,(none)
MFMACARME,YES,YES,YES,88,MF - Nuts,family sheet,(none)
MFCINNPXL,no,YES,no,,,auto: hand-packing,add to family sheet for proper routing; add demand row
MFCINNQXL,no,YES,YES,1,MF - Pantry (Bulk),auto: hand-packing,add to family sheet for proper routing
MFCURNTME,YES,YES,no,,,family sheet,add demand row
MFGINGGSM,YES,YES,YES,455,MF - Pantry,family sheet,(none)
MFCACAPME,YES,YES,YES,600,MF - Pantry,family sheet,(none)
MFMAPLEME,YES,YES,no,,MFMAPLEME,family sheet,add demand row
MFCACAPSM,YES,YES,YES,277,MF - Pantry,family sheet,(none)
MFALMONLG,YES,YES,YES,313,MF - Nuts,family sheet,(none)
MFKELPMME,YES,YES,YES,200,MF - Pantry,family sheet,(none)
MFLINSEME,YES,YES,YES,78,MF - Pantry,family sheet,(none)
MFSPEARME,YES,YES,YES,56,MF - Tea,family sheet,(none)
MFCYNPEPSM,YES,YES,YES,214,MF - Pantry,family sheet,(none)
MFBUCKWLG,YES,YES,YES,231,MF - Pantry,family sheet,(none)
MFCACBPXL,no,YES,YES,169,MF - Granola,auto: hand-packing,add to family sheet for proper routing
MFCHOCLLG,YES,YES,YES,513,MF - Clusters,family sheet,(none)
MFMAPLEB10,no,YES,YES,6,MF - Munchies,auto: hand-packing,add to family sheet for proper routing
